score_id,borrower_id,score,bucket,model_version,feature_name,impact_magnitude,impact_direction,description
7a5012c8-7d64-4166-b623-afde9775e8ea,0bd13385-ea3c-4830-837e-f29fad38e4d5,0.23175609,low,v1.0,Age,0.617601,-,Impact of Age is decreasing risk.
7a5012c8-7d64-4166-b623-afde9775e8ea,0bd13385-ea3c-4830-837e-f29fad38e4d5,0.23175609,low,v1.0,InterestRate,0.53401345,+,Impact of InterestRate is increasing risk.
7a5012c8-7d64-4166-b623-afde9775e8ea,0bd13385-ea3c-4830-837e-f29fad38e4d5,0.23175609,low,v1.0,MonthsEmployed,0.49099842,-,Impact of MonthsEmployed is decreasing risk.
7f456ce9-ceaf-4990-b04e-8b02fd42b8d2,f01ff56a-067f-484e-b115-d81a8e396a32,0.24390185,low,v1.0,Age,0.60670507,-,Impact of Age is decreasing risk.
7f456ce9-ceaf-4990-b04e-8b02fd42b8d2,f01ff56a-067f-484e-b115-d81a8e396a32,0.24390185,low,v1.0,Income,0.20390788,-,Impact of Income is decreasing risk.
7f456ce9-ceaf-4990-b04e-8b02fd42b8d2,f01ff56a-067f-484e-b115-d81a8e396a32,0.24390185,low,v1.0,NumCreditLines,0.14250518,-,Impact of NumCreditLines is decreasing risk.
4de64ca5-7b13-4508-94a0-c219c9f44440,b8ec5394-7c00-4524-8ffc-9dc264ff9966,0.41386735,medium,v1.0,Age,0.5330801,+,Impact of Age is increasing risk.
4de64ca5-7b13-4508-94a0-c219c9f44440,b8ec5394-7c00-4524-8ffc-9dc264ff9966,0.41386735,medium,v1.0,MonthsEmployed,0.4806643,-,Impact of MonthsEmployed is decreasing risk.
4de64ca5-7b13-4508-94a0-c219c9f44440,b8ec5394-7c00-4524-8ffc-9dc264ff9966,0.41386735,medium,v1.0,InterestRate,0.20403153,+,Impact of InterestRate is increasing risk.
00332c23-9db3-47d2-839d-c6ffe38911f0,f5c156c1-850a-4010-9f49-b25deb72f0c0,0.4047144,medium,v1.0,MonthsEmployed,0.55921304,-,Impact of MonthsEmployed is decreasing risk.
00332c23-9db3-47d2-839d-c6ffe38911f0,f5c156c1-850a-4010-9f49-b25deb72f0c0,0.4047144,medium,v1.0,LoanAmount,0.5419859,-,Impact of LoanAmount is decreasing risk.
00332c23-9db3-47d2-839d-c6ffe38911f0,f5c156c1-850a-4010-9f49-b25deb72f0c0,0.4047144,medium,v1.0,Age,0.5371957,+,Impact of Age is increasing risk.
0528e4e6-c844-486a-9040-6f1a96065504,29d1b5cf-c6d5-4006-8b54-eaa671631482,0.4529376,medium,v1.0,Age,0.6210894,+,Impact of Age is increasing risk.
0528e4e6-c844-486a-9040-6f1a96065504,29d1b5cf-c6d5-4006-8b54-eaa671631482,0.4529376,medium,v1.0,LoanAmount,0.61360663,-,Impact of LoanAmount is decreasing risk.
0528e4e6-c844-486a-9040-6f1a96065504,29d1b5cf-c6d5-4006-8b54-eaa671631482,0.4529376,medium,v1.0,MonthsEmployed,0.44284797,-,Impact of MonthsEmployed is decreasing risk.
3eefc888-1419-49af-b56d-25a011798d9e,fee056af-f3c8-4e33-a2c9-09cbfd740c8d,0.5530685,medium,v1.0,MonthsEmployed,0.32144314,+,Impact of MonthsEmployed is increasing risk.
3eefc888-1419-49af-b56d-25a011798d9e,fee056af-f3c8-4e33-a2c9-09cbfd740c8d,0.5530685,medium,v1.0,Income,0.25736344,-,Impact of Income is decreasing risk.
3eefc888-1419-49af-b56d-25a011798d9e,fee056af-f3c8-4e33-a2c9-09cbfd740c8d,0.5530685,medium,v1.0,LoanAmount,0.15163603,+,Impact of LoanAmount is increasing risk.
24b788aa-1fc8-4214-a277-badabc0ef69b,1f21af30-9875-44fa-8f0f-b93f1149b219,0.2155801,low,v1.0,Age,0.967406,-,Impact of Age is decreasing risk.
24b788aa-1fc8-4214-a277-badabc0ef69b,1f21af30-9875-44fa-8f0f-b93f1149b219,0.2155801,low,v1.0,MonthsEmployed,0.32070896,-,Impact of MonthsEmployed is decreasing risk.
24b788aa-1fc8-4214-a277-badabc0ef69b,1f21af30-9875-44fa-8f0f-b93f1149b219,0.2155801,low,v1.0,DTIRatio,0.1345977,-,Impact of DTIRatio is decreasing risk.
b61aae58-d3e6-4705-affe-27c35e8700e1,3cd2b6b2-0130-47be-a493-a3b33fb87d33,0.24234547,low,v1.0,InterestRate,0.94636935,-,Impact of InterestRate is decreasing risk.
b61aae58-d3e6-4705-affe-27c35e8700e1,3cd2b6b2-0130-47be-a493-a3b33fb87d33,0.24234547,low,v1.0,MonthsEmployed,0.3494067,-,Impact of MonthsEmployed is decreasing risk.
b61aae58-d3e6-4705-affe-27c35e8700e1,3cd2b6b2-0130-47be-a493-a3b33fb87d33,0.24234547,low,v1.0,Income,0.31638652,-,Impact of Income is decreasing risk.
93e975f8-4b37-448a-9bd6-9ebfd76ceb70,76b377d9-0012-4aa5-9e51-1dc491709032,0.22401138,low,v1.0,Age,0.9087429,-,Impact of Age is decreasing risk.
93e975f8-4b37-448a-9bd6-9ebfd76ceb70,76b377d9-0012-4aa5-9e51-1dc491709032,0.22401138,low,v1.0,MonthsEmployed,0.42746523,+,Impact of MonthsEmployed is increasing risk.
93e975f8-4b37-448a-9bd6-9ebfd76ceb70,76b377d9-0012-4aa5-9e51-1dc491709032,0.22401138,low,v1.0,InterestRate,0.302769,-,Impact of InterestRate is decreasing risk.
8d976a7e-70b2-45cc-a60b-9c49b6b12e11,af216c22-e5ef-4e97-9670-92416a6f2441,0.45425957,medium,v1.0,Income,0.23378016,-,Impact of Income is decreasing risk.
8d976a7e-70b2-45cc-a60b-9c49b6b12e11,af216c22-e5ef-4e97-9670-92416a6f2441,0.45425957,medium,v1.0,MonthsEmployed,0.13592325,+,Impact of MonthsEmployed is increasing risk.
8d976a7e-70b2-45cc-a60b-9c49b6b12e11,af216c22-e5ef-4e97-9670-92416a6f2441,0.45425957,medium,v1.0,HasDependents_No,0.11189987,-,Impact of HasDependents_No is decreasing risk.
ab7a6834-1807-430c-835a-74d5a83383c0,ce8145e3-5d42-47d7-a79b-d5fd746b47cf,0.5240581,medium,v1.0,InterestRate,0.40241662,+,Impact of InterestRate is increasing risk.
ab7a6834-1807-430c-835a-74d5a83383c0,ce8145e3-5d42-47d7-a79b-d5fd746b47cf,0.5240581,medium,v1.0,Income,0.23882951,-,Impact of Income is decreasing risk.
ab7a6834-1807-430c-835a-74d5a83383c0,ce8145e3-5d42-47d7-a79b-d5fd746b47cf,0.5240581,medium,v1.0,CreditScore,0.14196979,-,Impact of CreditScore is decreasing risk.
0fea6622-85a9-4f27-851e-e6781f80c0eb,8cb1fd4b-7c0a-4835-8e5c-c4e008dc8c90,0.6262345,high,v1.0,InterestRate,0.56799364,+,Impact of InterestRate is increasing risk.
0fea6622-85a9-4f27-851e-e6781f80c0eb,8cb1fd4b-7c0a-4835-8e5c-c4e008dc8c90,0.6262345,high,v1.0,Age,0.30508444,-,Impact of Age is decreasing risk.
0fea6622-85a9-4f27-851e-e6781f80c0eb,8cb1fd4b-7c0a-4835-8e5c-c4e008dc8c90,0.6262345,high,v1.0,Income,0.21082744,-,Impact of Income is decreasing risk.
62bb8c25-0c40-45c8-ae88-87b8355863f7,93dbb699-a362-46d2-858c-6afef556eea0,0.72755104,high,v1.0,Age,0.69851464,+,Impact of Age is increasing risk.
62bb8c25-0c40-45c8-ae88-87b8355863f7,93dbb699-a362-46d2-858c-6afef556eea0,0.72755104,high,v1.0,CreditScore,0.1680353,+,Impact of CreditScore is increasing risk.
62bb8c25-0c40-45c8-ae88-87b8355863f7,93dbb699-a362-46d2-858c-6afef556eea0,0.72755104,high,v1.0,LoanAmount,0.13187523,+,Impact of LoanAmount is increasing risk.
970bf688-916f-446b-a171-f03881909d51,166f51fa-c3a9-499e-a222-8190ecc4e687,0.41740942,medium,v1.0,Age,0.75026464,+,Impact of Age is increasing risk.
970bf688-916f-446b-a171-f03881909d51,166f51fa-c3a9-499e-a222-8190ecc4e687,0.41740942,medium,v1.0,InterestRate,0.66560966,-,Impact of InterestRate is decreasing risk.
970bf688-916f-446b-a171-f03881909d51,166f51fa-c3a9-499e-a222-8190ecc4e687,0.41740942,medium,v1.0,MonthsEmployed,0.35857934,-,Impact of MonthsEmployed is decreasing risk.
6608c36a-7815-46c5-8da2-9190b15b7463,11d6e62f-6697-4824-97be-18190a495164,0.5555416,medium,v1.0,Age,0.80574054,+,Impact of Age is increasing risk.
6608c36a-7815-46c5-8da2-9190b15b7463,11d6e62f-6697-4824-97be-18190a495164,0.5555416,medium,v1.0,InterestRate,0.5463758,-,Impact of InterestRate is decreasing risk.
6608c36a-7815-46c5-8da2-9190b15b7463,11d6e62f-6697-4824-97be-18190a495164,0.5555416,medium,v1.0,Income,0.36994323,-,Impact of Income is decreasing risk.
1b3659b2-c811-48ec-a17e-aa65f52d6800,704ac014-9c7e-4d83-84da-85e974d9a20b,0.17676544,low,v1.0,Age,0.47768927,-,Impact of Age is decreasing risk.
1b3659b2-c811-48ec-a17e-aa65f52d6800,704ac014-9c7e-4d83-84da-85e974d9a20b,0.17676544,low,v1.0,MonthsEmployed,0.2857513,-,Impact of MonthsEmployed is decreasing risk.
1b3659b2-c811-48ec-a17e-aa65f52d6800,704ac014-9c7e-4d83-84da-85e974d9a20b,0.17676544,low,v1.0,Income,0.17967571,-,Impact of Income is decreasing risk.
2a21bcb5-d864-4279-974b-46f6645d2de7,eac3ae88-3be2-4ea5-9e21-a212ea74b284,0.1767762,low,v1.0,Age,0.58026546,-,Impact of Age is decreasing risk.
2a21bcb5-d864-4279-974b-46f6645d2de7,eac3ae88-3be2-4ea5-9e21-a212ea74b284,0.1767762,low,v1.0,MonthsEmployed,0.36957347,-,Impact of MonthsEmployed is decreasing risk.
2a21bcb5-d864-4279-974b-46f6645d2de7,eac3ae88-3be2-4ea5-9e21-a212ea74b284,0.1767762,low,v1.0,Income,0.27160898,-,Impact of Income is decreasing risk.
45531be3-65ce-40ce-b825-4e745d681e24,472e8228-5211-4a33-9ca7-63c129dad334,0.66105574,high,v1.0,Age,0.52136606,+,Impact of Age is increasing risk.
45531be3-65ce-40ce-b825-4e745d681e24,472e8228-5211-4a33-9ca7-63c129dad334,0.66105574,high,v1.0,MonthsEmployed,0.38037568,+,Impact of MonthsEmployed is increasing risk.
